patch_id	centroid_lon	centroid_lat	node1_id	node1_lon	node1_lat	node2_id	node2_lon	node2_lat	node3_id	node3_lon	node3_lat	coupling_ratio_mean	coupling_ratio_std
49	142.561744395367	39.8566394520945	3759	142.577261170181	39.8239234229365	3630	142.523669416803	39.868053752085	3760	142.584295943998	39.8779315742728	0.752308908238487	0.0369442639917878
50	142.735139937207	40.1655081210831	4026	142.747846325772	40.1336234820622	3896	142.697925793925	40.1757037067507	4027	142.75964406577	40.1871877814474	1	0
51	140.698564860159	36.8164449756437	1934	140.671827882568	36.8347394347797	2057	140.728598881266	36.8310040265491	2056	140.695268138052	36.7835845083917	0.270679338527416	0.0224673817776625
52	140.879826091347	40.4081735433318	86	140.857193016122	40.3837514543905	87	140.859338566668	40.438444039137	203	140.922941600647	40.402312855218	0.0572306569440498	0.00141357021304982
53	140.897414311104	40.323556351755	201	140.917144141197	40.2936281691514	85	140.855049561835	40.3290583884474	202	140.920044894055	40.3479706463716	0.0722518402844601	0.00162787216177675
54	142.826565106231	41.9860984307637	2280	142.782566992857	41.9683333434009	2281	142.815957856852	42.0164603932389	2404	142.881166974901	41.9734795456148	0.0792139470474898	0.00995352812777609
55	141.144350138322	39.558830806065	778	141.121931819325	39.5396253145559	779	141.130353617664	39.5934327627412	897	141.180755815754	39.5434253460019	0.191806363152047	0.00398576055794896
56	139.581195810227	36.3828585389466	242	139.540370322609	36.3535912240568	243	139.574367736514	36.4001676914968	361	139.628869892335	36.3948008428427	0.028069284317663	0.00156827536994291
57	140.940875983184	39.3318569990095	537	140.964427885541	39.3505611776477	536	140.952351556774	39.2969904846825	419	140.905840627012	39.3480108234574	0.143365807689041	0.00405898539825924
58	140.172698197478	37.3004826909656	379	140.173013706431	37.2664996774746	262	140.143455755709	37.3192547336175	380	140.201622962916	37.3156863279791	0.0902557306958257	0.00581153365977813
59	141.037313448311	38.8207505178191	1003	141.077104560686	38.8222829657738	883	141.011359645704	38.7931876073871	884	141.023481668364	38.8467704865381	0.216458044843004	0.0125916709940196
60	141.13658413526	38.0891292711638	1471	141.125707576272	38.1129615961018	1592	141.17833789191	38.0935006617451	1470	141.105717494664	38.0609136527277	0.246653582734616	0.0293569389256527
61	139.948439461043	36.579312271074	721	139.948348078507	36.6139499371644	839	139.976056339859	36.5595664856793	720	139.920911515931	36.5644138118089	0.080272495058185	0.00493284720287247
62	140.439822910074	36.69156080816	1686	140.467889071478	36.7066074291755	1685	140.439862869779	36.6571980313737	1564	140.41171468979	36.7108701509978	0.186886939238567	0.0143524394548145
63	139.813344260875	36.6144526111003	484	139.8408684004	36.6294336919006	483	139.813656339207	36.5796634713253	366	139.785505399882	36.6342540272041	0.0580581789643228	0.00337555187394137
64	140.196940739045	36.7757817415314	1082	140.195470976864	36.7420193096908	963	140.169546143798	36.7947941244684	1083	140.225803935894	36.7905249729149	0.127709408807407	0.00817973848412277
65	139.882771547132	36.4497834214768	718	139.857597875095	36.4688192978881	837	139.912294828704	36.4637819145578	836	139.878422312194	36.4167425820696	0.0668716625148057	0.00411238098677072
66	139.339640177128	36.2111554029358	5	139.299222986767	36.1823651871751	6	139.333501122306	36.2295179556041	122	139.386215372645	36.2215678700922	0.00763187338574507	0.000396586640499779
67	140.140978143225	37.4557156800449	147	140.148831610343	37.4336839530395	31	140.097860035832	37.4499515436496	148	140.176256405829	37.4834985074425	0.0508324459581771	0.0033801348700262
68	140.823450383961	38.2249806908884	754	140.813900444734	38.2603951388674	872	140.858100178007	38.2069894738547	753	140.798342914901	38.2075489662631	0.165701689425972	0.0145659835751576
69	139.696838841917	36.3009564462913	595	139.667461449043	36.2872790398682	596	139.701249887639	36.3339479481778	714	139.721805351017	36.2816359692645	0.0397451477832229	0.00230883711100551
70	140.758357449179	37.6027332945873	1220	140.786562738256	37.6189150273224	1219	140.761218472165	37.5682999601332	1100	140.727287905313	37.6209771913582	0.214532649206162	0.0202743539382608
71	140.950769449866	38.6143594269569	880	140.974888334095	38.6324612843557	879	140.962411749335	38.5789323163636	761	140.914999598531	38.6316758335641	0.191287932980765	0.0145835925771997
72	141.34059929302	40.3501827781148	1032	141.364744756173	40.3750622097595	1031	141.357426736632	40.3212360990592	912	141.299625383204	40.3542388879329	0.252384158931918	0.00617902693026966
73	140.420228059514	37.1443041115544	971	140.420578284466	37.1779758877151	1090	140.448850573123	37.1257343064594	970	140.391253738176	37.1291949783721	0.171528843731184	0.0118794363607975
74	140.529392566854	37.5063381024301	859	140.565859776967	37.5391177952355	858	140.540582386092	37.4885617473795	739	140.481757924093	37.4913194805325	0.167121110906696	0.0138959344796698
75	140.747453761743	38.1729874032084	752	140.781650888135	38.1549255190365	633	140.722056593832	38.1557765652756	634	140.738646632844	38.2082517680643	0.14911703030154	0.0124324876621963
76	142.088193976235	40.2648228548926	2494	142.059219377474	40.2260823057223	2495	142.071761511785	40.2794064940585	2620	142.133630092384	40.2889659489553	0.567677985272089	0.0141929690944591
77	142.003714658743	39.6761030813365	2608	142.01565904333	39.6428429177609	2484	141.967794778879	39.6890137450157	2609	142.027684677391	39.6964437665777	0.448937874894884	0.00762070830068162
