x_Sanriku y_Sanriku ae_model_Sanriku an_model_Sanriku au_model_Sanriku ve_1998_model_Sanriku vn_1998_model_Sanriku vu_1998_model_Sanriku ve_2009_model_Sanriku vn_2009_model_Sanriku vu_2009_model_Sanriku
-1.4571192135750354e+02 3.0357512548280909e+02 -5.3392345755305126e-01 2.1481113102638236e-01 1.1350087275757507e-02 1.4222725358479961e-02 -5.8911263470705320e-03 -6.2809783820275795e-04 8.3495673253963978e-03 -3.5282039057803263e-03 -5.0324687816942536e-04
-8.4261817969650139e+01 2.9428420415364258e+02 -7.7815448399893805e-01 4.0119557846186144e-01 1.2983588227515830e-01 1.8159228553618321e-02 -9.4220472848503944e-03 -3.6245328405839377e-03 9.5995292296300015e-03 -5.0088959217699184e-03 -2.1963381355571965e-03
-9.9090777731247186e+01 2.5635211701801290e+02 -8.7121975025152876e-01 2.3238883153626622e-01 1.2576941755896309e-01 2.0520949157539568e-02 -5.8652456414035941e-03 -3.9655880541545436e-03 1.0937531904772752e-02 -3.3089684945046658e-03 -2.5821244610059494e-03
-2.0664500576449964e+02 2.5328958920135321e+02 -3.9391544742016832e-01 5.0513973474806149e-02 -2.2692566519821292e-03 1.1344844599688975e-02 -1.7973088484795202e-03 4.2730186448567732e-05 7.0117746780671234e-03 -1.2416551402566526e-03 1.7768363276764309e-05
-1.5174421013324394e+02 2.4597205278130079e+02 -5.8688953953488443e-01 8.6523703969202143e-02 1.0344446515365591e-02 1.5648404733306781e-02 -2.7509997677303997e-03 -8.9056766042254802e-04 9.1926197984230525e-03 -1.7992390240691761e-03 -7.7677874875352652e-04
-7.2689736420827231e+01 2.4386352486535569e+02 -1.0505357160389870e+00 2.6574419887036299e-01 2.8811689150806336e-01 2.2643156115262603e-02 -6.0693222638315393e-03 -6.5276090579759454e-03 1.1087263238833746e-02 -3.1461360762575462e-03 -3.3583232513872490e-03
-1.0990070142642331e+02 2.1940708102468875e+02 -7.7295252133659820e-01 5.1969739950123411e-02 8.8766757844211952e-02 1.8730268661132577e-02 -1.8251544070959620e-03 -2.9210887981919662e-03 1.0227790926429997e-02 -1.2534872676446046e-03 -1.9446544619056347e-03
-5.5674351280698666e+01 2.3148435964394187e+02 -1.1292160844064845e+00 2.5914838885912811e-01 4.4756963461976729e-01 2.3010114432796418e-02 -5.6438543581897533e-03 -8.1987694306904814e-03 1.0588737504325089e-02 -2.7932220807393442e-03 -3.2755034498730402e-03
-9.1432539469707919e+01 2.1916837062550655e+02 -8.8631962029192646e-01 7.7150948145724110e-02 1.6846064660154692e-01 2.0302652921890030e-02 -2.3485847627489785e-03 -4.3532914033415256e-03 1.0553137098678840e-02 -1.4999243331460133e-03 -2.5002242907245097e-03
-7.7401297401091114e+01 1.9207613559148371e+02 -8.0027104852689712e-01 -1.7536572286873421e-02 2.2784292978279436e-01 1.7823978468842157e-02 -4.9615104437047888e-04 -4.4544528044200404e-03 9.0209969350462885e-03 -6.8905333952608652e-04 -1.9481805768093025e-03
-9.7710867438045000e+01 1.8475561869142055e+02 -6.5894858514030963e-01 -5.1242516077510424e-02 1.1388172614128797e-01 1.5713955840047093e-02 4.7138873837628236e-04 -2.5882502045058041e-03 8.4655214035036872e-03 -9.2278938476332250e-05 -1.3355512169516365e-03
-3.5801752165082064e+01 1.7186553926168398e+02 -5.9098110394818959e-01 -1.3918257666607309e-02 4.6948299315209069e-01 1.2052913548173857e-02 -1.4529001535104019e-03 -7.2283075381409908e-03 5.5521214047437716e-03 -1.6060009878430823e-03 -2.0639946134679930e-03
-1.0304653160067232e+02 1.7046319326149802e+02 -5.4484053932370180e-01 -7.6716535467833427e-02 8.4044011465547214e-02 1.3381309346382236e-02 1.0996705742206032e-03 -1.7662448826431555e-03 7.3880634138215164e-03 2.5578868407443540e-04 -8.4176075652213616e-04
-4.8366232102495246e+01 1.6969239252407232e+02 -6.0881849753190598e-01 -4.5471596190915349e-02 3.8231574788523370e-01 1.2947973542807904e-02 -6.7132133685647328e-04 -6.1888048825152718e-03 6.2509700699569385e-03 -1.1715088949565422e-03 -1.9833316557777004e-03
-1.2045294609071190e+02 1.5404112467265801e+02 -4.1106263525349435e-01 -8.7351538034614359e-02 3.6234804925464603e-02 1.0709691952156323e-02 1.5313405348431894e-03 -6.6323703717480198e-04 6.1880029643678848e-03 5.7047361646243150e-04 -2.6465418299469136e-04
