Veast_1998 Vnorth_1998 Veast_2009 Vnorth_2009
-3.8025031802 3.92695178648 -6.15507455175 0.397715638016
-4.00975261665 6.87976980841 -5.56641406043 -0.205760385236
-8.20346740598 5.02007715636 -5.74467562138 4.87161136793
-7.22022717517 8.3681033217 -8.13301199014 6.06499650934
-7.78601101922 6.0105078795 -8.5317080474 6.51125616491
-8.46291700004 5.75188642422 -10.7079394916 6.97359956674
-6.82806863961 6.92131313148 -11.731088274 6.99541823036
-6.5863703533 6.98835634471 -11.755725879 6.74019422528
-8.40698718756 6.64697992834 -14.9042969533 6.95067788054
-7.50196535935 4.28576385403 -11.9512492111 6.50427218333
-7.56907672388 7.12829695565 -12.5722590453 7.14985289099
-7.05588162057 5.92648629208 -10.1648167231 6.36492983276
-6.00403762054 14.6451322492 -15.797330034 8.74539655355
-13.0713483551 11.5195760758 -15.6511961263 8.45669153733
-18.7258301469 16.2131698606 -20.0932858289 11.1604525646
-13.2601338817 12.4086079426 -19.2871379525 9.26661260614
-23.3476809338 12.9412725368 -16.7543391134 7.31274927806
-25.835428785 14.4563291082 -19.2168249118 8.95975193473
-30.4439312262 15.1262392569 -22.8104311683 10.5182549277
-8.6025360008 6.6250886908 -11.7252545517 4.56639302366
-8.39259186988 9.98066453173 -12.5864683376 5.09547178845
-8.69292546951 9.37909668097 -14.9455534167 7.99916380363
-13.147921447 11.7212940043 -14.9034774311 6.84551814302
-11.8549906999 8.42241558248 -12.2651241284 4.31365038171
-15.0553009665 9.69326749636 -13.4651018239 4.86867418857
-23.5583041695 13.3856003445 -18.1162943686 5.13669886138
-11.4255644738 11.6612682264 -13.3333591 4.08662668659
-15.9273714457 8.74037381733 -12.9365122712 3.7190352389
-19.1262634064 8.80866925162 -16.9418263774 4.95614453107
-13.4808676759 6.45405469783 -10.8455962974 2.30220177494
-14.305473936 8.61978612517 -10.4464558292 3.28778447912
-7.71353376842 4.97551679077 -6.85669000283 1.57005929865
-5.64299008309 5.5488421401 -7.84214866904 1.59176210058
-5.61405931282 4.22929716099 -7.10370005458 1.16494262162
-4.22147291046 6.23965986169 -5.96148733624 0.604689915078
-11.3707524161 5.13432945802 -9.15690986809 2.3469052678
-14.6451654244 5.77265691222 -12.4235932945 2.94252604539
-8.80351824188 3.00463931457 -7.90406404158 0.774568491924
-2.98740867445 2.33281235156 -5.88617523314 0.110184350336
-4.41338358057 1.59425279493 -4.29059959207 1.35654074116
-14.8475350443 5.61951581653 -12.2071990797 3.0934011374
-12.4812832432 5.94326101262 -11.326722172 2.49082077132
-12.0093011123 2.60104943762 -10.9200604918 2.10832474169
-12.323084422 4.07180724197 -11.1779263995 2.47997749101
-6.94409631926 -2.09255179593 -9.37554770454 0.975071549472
-12.2806862609 3.07231443593 -10.2031982442 2.06384586517
-5.77491970652 4.84798747695 -6.21328891012 0.191674304951
-5.55974642227 3.35029822287 -6.25322128938 -0.406831064877
-5.23551729702 1.8429665988 -5.41690670623 -0.535225263105
-5.27595271711 4.09445454197 -5.01757620779 -0.273178720433
