patch_id	centroid_lon	centroid_lat	node1_id	node1_lon	node1_lat	node2_id	node2_lon	node2_lat	node3_id	node3_lon	node3_lat	locking_probability_mean	locking_probability_std
5985	141.639855815384	36.9944295340681	3705	141.63306328016	37.0144444143757	3835	141.685138103302	37.0023656470861	3704	141.601382932931	36.9664635562991	0	0
5986	141.604946869819	37.0318994628547	3705	141.63306328016	37.0144444143757	3575	141.574780091947	37.016878462965	3576	141.606997433714	37.0643682000046	0.170963364993216	0.376732620575989
5987	141.536597372803	36.9889500691542	3574	141.543313753834	36.9690718670472	3445	141.491715069496	36.9808851679592	3575	141.574780091947	37.016878462965	0	0
5988	141.637431492642	37.079366398519	3706	141.665559226213	37.0620785842511	3576	141.606997433714	37.0643682000046	3577	141.639738231178	37.1116450244965	0.067842605156038	0.251646398694304
5989	141.568173444906	37.0367838019635	3575	141.574780091947	37.016878462965	3446	141.522759565726	37.0290896148373	3576	141.606997433714	37.0643682000046	0.559023066485753	0.496841240455354
5990	141.506856539851	36.8898404786522	3572	141.476407647372	36.8752204596822	3573	141.510106554545	36.922028728315	3702	141.534056150107	36.8722650721169	0	0
5991	141.470439163885	36.8946179023593	3572	141.476407647372	36.8752204596822	3443	141.424820582937	36.8865891259424	3573	141.510106554545	36.922028728315	0	0
5992	141.371635613899	36.7025375228277	3569	141.374746532917	36.7351242878798	3698	141.398506037344	36.6844072936131	3568	141.341654649941	36.6880740165688	1	0
5993	141.265298253683	36.6312359982007	3567	141.310073493161	36.6403994817779	3437	141.228258650389	36.6022296476279	3438	141.257579597873	36.651064626565	0.998643147896879	0.0368354734341879
5994	141.53736523565	36.9045206787845	3573	141.510106554545	36.922028728315	3703	141.56793384938	36.9192610112226	3702	141.534056150107	36.8722650721169	0	0
5995	141.646509715721	36.9745418661023	3704	141.601382932931	36.9664635562991	3835	141.685138103302	37.0023656470861	3834	141.653025126706	36.9547814367815	0	0
5996	141.603075443939	36.9992645804946	3575	141.574780091947	37.016878462965	3705	141.63306328016	37.0144444143757	3704	141.601382932931	36.9664635562991	0	0
5997	141.711045464611	37.0697278404181	3706	141.665559226213	37.0620785842511	3837	141.750457057712	37.0970825733721	3836	141.717137139051	37.0500070038758	0	0
5998	141.671914220849	37.0421816921579	3706	141.665559226213	37.0620785842511	3836	141.717137139051	37.0500070038758	3705	141.63306328016	37.0144444143757	0	0
5999	141.780862950982	37.1122310976662	3837	141.750457057712	37.0970825733721	3838	141.782794751892	37.1446071662505	3968	141.80933732928	37.0949960914687	0	0
6000	141.635206541802	37.0469661945706	3576	141.606997433714	37.0643682000046	3706	141.665559226213	37.0620785842511	3705	141.63306328016	37.0144444143757	0	0
6001	141.704858745783	37.089558865956	3707	141.698576877853	37.1095000633414	3837	141.750457057712	37.0970825733721	3706	141.665559226213	37.0620785842511	0	0
6002	141.457529536417	36.795529761406	3701	141.499390654564	36.825651361155	3700	141.465237704753	36.7788039480218	3570	141.407983416974	36.782116246356	0.967435549525102	0.177614220707571
6003	141.715246142402	37.0174535930454	3835	141.685138103302	37.0023656470861	3836	141.717137139051	37.0500070038758	3966	141.743463326148	36.9999808091362	0	0
6004	141.505195602745	36.8063678980575	3831	141.550976074013	36.8146328525298	3700	141.465237704753	36.7788039480218	3701	141.499390654564	36.825651361155	0.797829036635007	0.401891800917684
6005	141.693867604372	36.9857151596901	3834	141.653025126706	36.9547814367815	3835	141.685138103302	37.0023656470861	3966	141.743463326148	36.9999808091362	0	0
6006	141.669337922085	36.9217148873634	3965	141.711134033304	36.9522193075304	3964	141.67739071845	36.9050881092694	3833	141.619512810706	36.9078193026387	0	0
6007	141.646731031088	36.8903492267612	3963	141.6432905302	36.8581330259518	3833	141.619512810706	36.9078193026387	3964	141.67739071845	36.9050881092694	0	0
6008	141.68906546381	36.8663062248371	4095	141.729048904412	36.8937424807561	4094	141.694874549597	36.8470275657798	3963	141.6432905302	36.8581330259518	0	0
6009	141.581677424397	36.8290761343919	3962	141.608465207771	36.8115318263766	3831	141.550976074013	36.8146328525298	3832	141.58559209218	36.8610565658028	0	0
6010	141.511065618998	36.7871221110345	3830	141.517000665689	36.7679139904402	3700	141.465237704753	36.7788039480218	3831	141.550976074013	36.8146328525298	0.933514246947083	0.249298467062878
6011	141.616131527964	36.8756720291507	3833	141.619512810706	36.9078193026387	3963	141.6432905302	36.8581330259518	3832	141.58559209218	36.8610565658028	0	0
